gUnk_61	0300000C	thumb	worldmap_screen_08001EF0
NewMapScreenVSync	080BF5B4	thumb	worldmap_screen_080BF600
gWorldmapGmap_0	08B085F8	data	worldmap_screen_080BF600
gWorldmapGmap_3	08B1B2F8	data	worldmap_screen_080BF600
gUnk_3	020087A0	data	worldmap_screen_080BF600
gUnk_59	03001D50	data	worldmap_screen_080BF600
gUnk_60	03001D90	data	worldmap_screen_080BF600
GMapScreenVSync_RequestFullCopy	080BF6B4	thumb	worldmap_screen_080BF95C
GMapScreen_FillBg3TileIndices	080BF2F0	thumb	worldmap_screen_080BF95C
GMapScreen_ApplyTilePalettes	080BF368	thumb	worldmap_screen_080BF95C
GMapScreen_UpdateScroll	080BF73C	thumb	worldmap_screen_080BF95C
