EventScr_EraseSaveInfo	085D3E50	data	CallEraseSaveEvent
EraseSaveRankData	080A83F8	thumb	EraseSaveData
EraseSoundRoomSaveData	080A886C	thumb	EraseSaveData
EraseLinkArenaStruct2	080A89C8	thumb	EraseSaveData
Sio_ResetState	08041818	thumb	EndSioSessionAndLoadSuspend
LoadAndVerfySuspendSave	080AB4B8	thumb	EndSioSessionAndLoadSuspend
ProcScr_SIOCON	085D3234	data	XMapTransfer_0
Sio_CheckLinkAlive	08042164	thumb	XMapTransfer_0
IsExtraMapAvailable	080AB634	thumb	XMapTransfer_0
Nop_Scene_0	08008F28	thumb	XMapTransfer_0
gUnk_73	03004E20	data	XMapTransfer_0
SioClearOutgoingQueue	08042A78	thumb	XMapTransfer_0
