MakeTargetListForSummon	08025C48	thumb	bmmenu_08024468
NewTargetSelection	080507B0	thumb	bmmenu_08024468
gSelectInfo_Summon	085C5818	data	bmmenu_08024468
gActionData	0203A954	data	bmmenu_08024468
StartItemHelpBox	0808B0EC	thumb	bmmenu_08024468
gBmSt	0202BCAC	data	bmmenu_08024468
GetBallistaItemAt	08037A24	thumb	bmmenu_08024468
Proc_EndEach	08002FC8	thumb	bmmenu_080225C4
gProcScr_PlayerPhase	085C2F58	data	bmmenu_080225C4
StartUnitListScreenField	080943BC	thumb	bmmenu_080225C4
ProcScr_Config_Field	08AAFA44	data	bmmenu_080225C4
MakeGiveTargetList	08025544	thumb	bmmenu_08022A04
NewTargetSelection	080507B0	thumb	bmmenu_08022A04
gSelectInfo_Give	085C58F8	data	bmmenu_08022A04
EndSubtitleHelp	08035848	thumb	bmmenu_08022A04
GetSomeFacingDirection	0801D838	thumb	bmmenu_08022A04
Make6CKOIDOAMM	0801D934	thumb	bmmenu_08022A04
UnitGive	080180DC	thumb	bmmenu_08022A04
gActionData	0203A954	data	bmmenu_08022A04
UpdateMenuItemPanel	0801E3A4	thumb	bmmenu_08022D4C
DisplayMoveRangeGraphics	0801D6FC	thumb	bmmenu_08022D4C
Proc_EndEach	08002FC8	thumb	bmmenu_08022D4C
gActionData	0203A954	data	bmmenu_08022D4C
gProcScr_BKSEL	085C6A48	data	bmmenu_08022D4C
GetUnitItemUseReachBits	08016FE4	thumb	bmmenu_08023B00
DisplayMoveRangeGraphics	0801D6FC	thumb	bmmenu_08023B00
CanUnitUseItem	0802881C	thumb	bmmenu_08023B00
ClearBg0Bg1	0804F610	thumb	bmmenu_08023B00
DoItemUse	08028E0C	thumb	bmmenu_08023B00
gActionData	0203A954	data	bmmenu_08023B00
MakeTargetListForWeapon	08025164	thumb	bmmenu_08022C60
GetSelectTargetCount	08050AC8	thumb	bmmenu_08022C60
ClearBg0Bg1	0804F610	thumb	bmmenu_08022C60
NewTargetSelection	080507B0	thumb	bmmenu_08022C60
Eventinfo_CondFalse_1	08085600	thumb	bmmenu_08022C60
gActionData	0203A954	data	bmmenu_08022C60
gSelectInfo_Attack	085C58D8	data	bmmenu_08022C60
ItemSelectMenu_Teardown	080234FC	thumb	bmmenu_08023514
MenuCommand_SelectNo	080234C0	thumb	bmmenu_08023514
GetUnitPortraitId	08018FCC	thumb	bmmenu_08023514
SetFaceBlinkControlById	0800635C	thumb	bmmenu_08023514
ForceMenuItemPanel	0801E2E0	thumb	bmmenu_08023514
gItemSelectMenuDef	085C5664	data	bmmenu_08023514
gUiTmScratchB	0200422C	data	bmmenu_08023514
ClearBg0Bg1	0804F610	thumb	bmmenu_08023514
gBmSt	0202BCAC	data	bmmenu_08023514
GetItemUseEffect	080174E4	thumb	bmmenu_08023514
gActionData	0203A954	data	bmmenu_08023514
CanUnitUseItem	0802881C	thumb	bmmenu_08023514
ClearBg0Bg1	0804F610	thumb	bmmenu_08023964
FillBallistaRangeMaybe	080256D8	thumb	bmmenu_08023964
NewTargetSelection	080507B0	thumb	bmmenu_08023964
gActionData	0203A954	data	bmmenu_08023964
gSelectInfo_Attack	085C58D8	data	bmmenu_08023964
GetBallistaItemAt	08037A24	thumb	bmmenu_08023964
UpdateMenuItemPanel	0801E3A4	thumb	bmmenu_08023964
GetItemMinRange	08017414	thumb	bmmenu_08023964
DisplayMoveRangeGraphics	0801D6FC	thumb	bmmenu_08023964
CanUnitUseItem	0802881C	thumb	bmmenu_08023964
IsUnitMagicSealed	08018A1C	thumb	bmmenu_08023964
CanUnitUseItem	0802881C	thumb	bmmenu_08024ACC
DrawItemMenuLine	080165F0	thumb	bmmenu_08024ACC
ClearBg0Bg1	0804F610	thumb	bmmenu_08024ACC
DoItemUse	08028E0C	thumb	bmmenu_08024ACC
gActionData	0203A954	data	bmmenu_08024ACC
ProcScr_E_Guide1	08BABCB4	data	bmmenu_080226AC
gBmSt	0202BCAC	data	bmmenu_080226AC
gProcScr_PlayerPhase	085C2F58	data	bmmenu_080226AC
GetUnitPortraitId	08018FCC	thumb	bmmenu_08022B54
SetFaceBlinkControlById	0800635C	thumb	bmmenu_08022B54
ForceMenuItemPanel	0801E2E0	thumb	bmmenu_08022B54
gBallistaRangeMenuDef	085C5688	data	bmmenu_08022B54
Eventinfo_CondFalse_0	080855FC	thumb	bmmenu_08022B54
gWeaponSelectMenuDef	085C56AC	data	bmmenu_08022B54
ChangeActiveUnitFacing	0801F164	thumb	bmmenu_08022E54
InitObstacleBattleUnit	0802C7FC	thumb	bmmenu_08022E54
gActionData	0203A954	data	bmmenu_08022E54
UpdateBattleForecastContents	0803744C	thumb	bmmenu_08022E54
CloseBattleForecast	08037474	thumb	bmmenu_08022E54
ItemSubMenu_RestartItemSelectAfterDiscard	0802356C	thumb	bmmenu_080238A4
gActionData	0203A954	data	bmmenu_080238A4
GetBallistaItemAt	08037A24	thumb	bmmenu_080238A4
GetUnitItemUseReachBits	08016FE4	thumb	bmmenu_08023BD8
UpdateMenuItemPanel	0801E3A4	thumb	bmmenu_08023BD8
DisplayMoveRangeGraphics	0801D6FC	thumb	bmmenu_08023BD8
gActionData	0203A954	data	bmmenu_08024930
CanUnitUseWeaponNow	080164F8	thumb	bmmenu_08024930
MakeTargetListForWeapon	08025164	thumb	bmmenu_08024930
GetSelectTargetCount	08050AC8	thumb	bmmenu_08024930
gBmSt	0202BCAC	data	bmmenu_08024BA4
StartItemHelpBox	0808B0EC	thumb	bmmenu_08024BA4
